network,ngroup,effect,effect_l,effect_u,effect_p,predict_l,predict_u,tau2,q,qp,I2
AUD,995,0.034662421245680974,-0.08225185109346979,0.15157669358483172,0.49548316879511567,-0.19882411738658692,0.26814895987794884,0.005967170046485189,9.977305020723927,0.1256110135825917,0.39863520384138196
CER,995,0.027407176928603283,-0.07719582652789507,0.13201018038510165,0.5451403345974111,-0.19539662647833048,0.250210980335537,0.005684986844054547,9.831958490633806,0.13190932403841485,0.38974518599567254
COP,995,0.004276090558522406,-0.1389057142443383,0.14745789536138312,0.9441205164082667,-0.3057782095889664,0.3143303907060112,0.011124271966085104,13.276962254925932,0.038842629068760265,0.5480893984033194
DMN,995,0.028791017412179435,-0.09698979545237785,0.1545718302767367,0.5956919036691455,-0.23068931346617433,0.2882713482905332,0.00754697817008503,11.479755996892976,0.07463344918125574,0.47734080745061874
DAN,995,0.10160511919698632,-0.0016600566357330288,0.20487029502970566,0.05274770070720637,-0.057754629850946274,0.26096486824491893,0.0020621829990147117,8.448460630317314,0.2070535482580976,0.28981145056544505
FPN,995,0.03741451846506978,-0.10248788227949553,0.1773169192096351,0.5371248945015386,-0.28210333576798524,0.3569323726981248,0.012180970499349507,13.366377162108328,0.03757305066116707,0.5511124721956
MEM,995,-0.04059413893994065,-0.2638280314144529,0.1826397535345716,0.6719506216149407,-0.6391509911512481,0.5579627132713667,0.045895484473458106,29.607141112675524,4.667742220256667e-5,0.7973461883007928
SAL,995,-0.018882393021791323,-0.07529686435739355,0.037532078313810904,0.4440907673768409,-0.07814812227741089,0.04038333623382823,0,3.106380160822038,0.7953814841208797,0
SMH,995,-0.0496016667533813,-0.14266623939236003,0.04346290588559743,0.23997310207535408,-0.20449817434254422,0.10529484083578164,0.0021844053671307663,7.276542520700625,0.2960281777987119,0.1754325652697089
SMM,995,-0.02784094525649787,-0.15985480025404636,0.1041729097410506,0.6242852032416046,-0.31646833413684455,0.2607864436238488,0.00969628027900607,12.559302141710157,0.050593208983170594,0.5222664498154194
SC,995,-0.0647259031834395,-0.1597314155328057,0.030279609165926702,0.14655287591656196,-0.2266700395164002,0.09721823314952117,0.002461363881795542,7.499167864878046,0.2771372506240392,0.1999112290710704
UNC,995,-0.027965607540381698,-0.1348573142345985,0.07892609915383511,0.5457135234911519,-0.18868023721844843,0.13274902213768505,0.002000519795019827,8.943721203005355,0.17676797817372228,0.3291383011823062
VAN,995,-0.0760696970163572,-0.21879412134043902,0.06665472730772463,0.23997165908163848,-0.4384694238561541,0.28633002982343975,0.01647306077439793,21.1695350416348,0.0017102615647171747,0.7165738412204327
VIS,995,-0.03571629675480558,-0.11554345622460835,0.04411086271499718,0.3155952902938439,-0.11958017160581391,0.04814757809620276,5.459620417184315e-8,6.219712877017174,0.3990333424449847,0.03532524432583509
