network,ngroup,effect,effect_l,effect_u,effect_p,predict_l,predict_u,tau2,q,qp,I2
AUD,1280,-0.024677002817582346,-0.14122897315939767,0.09187496752423296,0.6472275981188617,-0.3352424551914412,0.2858884495562765,0.01611155968366761,23.44515425351197,0.009217495863382972,0.5734726292746806
CER,1280,-0.014770604559237234,-0.09893326706853266,0.06939205795005819,0.7039697026470235,-0.19133250828519152,0.16179129916671706,0.00466506805590793,14.54510214363132,0.14954759649424668,0.3124833431040172
COP,1280,-0.061016332583073915,-0.20418009574881285,0.08214743058266503,0.3646849314713374,-0.4697233245856774,0.34769065941952954,0.02851373784872297,31.194894091255957,5.447782295838455e-4,0.6794347186835605
DMN,1280,-0.0066122894630767535,-0.1434324649179136,0.13020788599176006,0.9163776406426213,-0.39126163411769427,0.3780370551915408,0.02514177389973453,31.456312343425516,4.930806146612466e-4,0.6820987822467995
DAN,1280,0.08140878172848195,-0.07252577332550744,0.23534333678247135,0.265933158525187,-0.39796612034078505,0.560783683797749,0.04013310936381507,42.8549928990162,5.27883215961677e-6,0.7666549607518529
FPN,1280,-0.03331561532122835,-0.11212729336093777,0.04549606271848106,0.3684466984615311,-0.1800387524279808,0.11340752178552413,0.0029556846969754323,13.185674913171058,0.21347504680170196,0.2416012023767487
MEM,1280,-0.07833407630051288,-0.1797990322775898,0.023130879676564062,0.11613643851296437,-0.32475857963398286,0.16809042703295712,0.009792780567845837,18.89683886312795,0.04159271953131453,0.4708109609003289
SAL,1280,-0.04743091133420876,-0.1250485204883552,0.030186697819937693,0.2032163936525467,-0.19757291805136773,0.1027110953829502,0.0031916420776141653,12.642554128340095,0.24434915913980376,0.2090205904213953
SMH,1280,-0.07060609326488615,-0.15009613071327826,0.008883944183505965,0.07598399843628859,-0.21033719525447825,0.06912500872470595,0.002542661248128044,13.156114947256718,0.21507379695636847,0.23989718544643943
SMM,1280,-0.029229844165769597,-0.12439868874251722,0.06593900041097803,0.5093068890297909,-0.23540860171692338,0.17694891338538418,0.006482626129378243,17.58365827571762,0.0624062013126887,0.43129013068858213
SC,1280,-0.03681314067602393,-0.146611293443429,0.07298501209138111,0.4722325846977744,-0.31140553021006256,0.2377792488580147,0.012306047665390613,20.537905321924956,0.024556438662955583,0.5130954280267014
UNC,1280,-0.007498889979394294,-0.08540866502678397,0.07041088506799538,0.8344980270258846,-0.08679523937220741,0.07179745941341882,6.100139928318229e-6,15.230761869927804,0.12387244923823941,0.34343402612417046
VAN,1280,-0.002572592740731763,-0.10222936808115965,0.09708418259969612,0.9552653832234591,-0.21509697126839478,0.20995178578693124,0.006825706651888719,17.73496227562919,0.0596024511895006,0.43614202023188536
VIS,1280,-0.043920630541435926,-0.12092843902041242,0.03308717793754057,0.23256731058957242,-0.18231007602607385,0.09446881494320201,0.0025479908760636296,12.812329386751882,0.23435482417814632,0.2195018018862259
