network,ngroup1,ngroup2,effect,effect_l,effect_u,effect_p,predict_l,predict_u,tau2,q,qp,I2
AUD,695,642,-0.061946133060954554,-0.18785397663164546,0.06396171050973634,0.2986732695514849,-0.3089326750211583,0.18504040889924916,0.008727517175959126,10.213947052863173,0.42192786637209284,0.0209465598123694
CER,695,642,-0.027503215018886404,-0.17085671687021764,0.11585028683244485,0.6780874488818854,-0.3193136923841781,0.2643072623464053,0.012500761179734407,12.251241370288898,0.268593736490927,0.18375618455681555
COP,695,642,-0.1217852405345972,-0.29630144355095195,0.05273096248175756,0.15102359413839406,-0.4784807155141279,0.23491023444493347,0.01872816726684468,16.008112718414967,0.09940040002806,0.37531674246043517
DMN,695,642,-0.18535430977618983,-0.3955336304757169,0.02482501092333725,0.07779226337564271,-0.7507317359504734,0.3800231163980937,0.05356616576122819,25.525772524945353,0.004433169360822513,0.6082390850178038
DAN,695,642,-0.07631248087410308,-0.19833849677483578,0.04571353502662963,0.19368371465842782,-0.2317929200802881,0.07916795833208193,0.0017246542326286355,9.484780825768151,0.4867948450043167,0
FPN,695,642,-0.09317471361773437,-0.18989503087199167,0.003545603636522912,0.057406325979408535,-0.19137171703598488,0.005022289800516139,0,6.1938753198525465,0.7987200828336292,0
MEM,695,642,-0.034481461882336306,-0.16704772195604825,0.09808479819137564,0.5750378388992077,-0.23044105713561167,0.16147813337093905,0.003964085654419435,10.719908371510924,0.37975203569880767,0.06715620568400944
SAL,695,642,-0.11423508362098705,-0.23726377294131173,0.00879360569933764,0.06540645297997419,-0.31440883614436316,0.08593866890238905,0.004781329844536654,9.466401712553454,0.4884844682413925,0
SMH,695,642,-0.10521480765572876,-0.22784628001215573,0.01741666470069822,0.08496763376929649,-0.2298235125680185,0.019393897256560988,5.1087389440555e-6,9.936755869332648,0.44605935956230386,0
SMM,695,642,-0.20767001306529154,-0.30117553242214345,-0.11416449370843965,5.797691014199689e-4,-0.3026031363693915,-0.11273688976119157,0,5.764348133461088,0.8346577936616635,0
SC,695,642,-0.11891054947194325,-0.23474698167549565,-0.0030741172683908524,0.045223174542474744,-0.2365509106049048,-0.0012701883389817231,1.6266868814022688e-6,8.866937026273796,0.544776686974756,0
UNC,695,642,-0.048299921605331766,-0.11380116369825684,0.017201320487593305,0.13141135986669825,-0.11480120981750937,0.018201366606845834,0,2.8464978323161083,0.9848090969529665,0
VAN,695,642,-0.0557060558790341,-0.1476228763663232,0.03621076460825502,0.20666747945479708,-0.149026224710343,0.03761411295227479,0,5.598632480935902,0.8477825291424852,0
VIS,695,642,-0.13389881697208023,-0.24126884232464646,-0.026528791619513978,0.019495318858059777,-0.24290812386720942,-0.024889510076951032,0,7.619152606321045,0.6659819008968586,0
